phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
6442066,https://cabaxter-06.xyz/%20baxter/inc08/06,http://www.phishtank.com/phish_detail.php?phish_id=6442066,2020-03-10T05:00:31+00:00,yes,2020-03-10T05:00:56+00:00,yes,Other
6442061,http://science-rpi-edu.000webhostapp.com/,http://www.phishtank.com/phish_detail.php?phish_id=6442061,2020-03-10T04:41:30+00:00,yes,2020-03-10T04:43:37+00:00,yes,Other
6442053,https://hillwhitecom.com/?a=1954&oc=8301&c=23934&m=3&s1=dk,http://www.phishtank.com/phish_detail.php?phish_id=6442053,2020-03-10T04:20:22+00:00,yes,2020-03-10T04:23:17+00:00,yes,Other
6442022,http://zonaderegistrosenlineabnweb1.com/BNWeb/lnicio,http://www.phishtank.com/phish_detail.php?phish_id=6442022,2020-03-10T03:01:50+00:00,yes,2020-03-10T03:06:45+00:00,yes,Other
6442018,https://www.rpmplus.com.ar/sinppl/customer_center/customer-IDPP00C682/myaccount/signin,http://www.phishtank.com/phish_detail.php?phish_id=6442018,2020-03-10T03:01:36+00:00,yes,2020-03-10T03:06:45+00:00,yes,Other
6442017,https://www.hamouchan.org/www/applecom/64c9bb73dff3b75,http://www.phishtank.com/phish_detail.php?phish_id=6442017,2020-03-10T03:01:31+00:00,yes,2020-03-10T03:05:43+00:00,yes,Other
6442016,https://www.hamouchan.org/www/applecom/15577f0d6ff5a61/?cmd=_update&dispatch=15577f0d6ff5a617c&locale=_US,http://www.phishtank.com/phish_detail.php?phish_id=6442016,2020-03-10T03:01:28+00:00,yes,2020-03-10T03:05:43+00:00,yes,Other
6442014,https://www.hamouchan.org/www/applecom,http://www.phishtank.com/phish_detail.php?phish_id=6442014,2020-03-10T03:01:26+00:00,yes,2020-03-10T03:05:43+00:00,yes,Other
6442013,https://vegasvalleybh.com/assets/web/assets/cart/myaccount/websc_success,http://www.phishtank.com/phish_detail.php?phish_id=6442013,2020-03-10T03:01:21+00:00,yes,2020-03-10T03:05:43+00:00,yes,Other
6442012,https://topekalodging.org/linkedinvm/err1,http://www.phishtank.com/phish_detail.php?phish_id=6442012,2020-03-10T03:01:17+00:00,yes,2020-03-10T03:04:40+00:00,yes,Other
6442011,https://locksmithrishon.com/ald,http://www.phishtank.com/phish_detail.php?phish_id=6442011,2020-03-10T03:01:12+00:00,yes,2020-03-10T03:04:40+00:00,yes,Other
6442009,https://line.supportubr.online/auth/U01EN,http://www.phishtank.com/phish_detail.php?phish_id=6442009,2020-03-10T03:01:08+00:00,yes,2020-03-10T03:04:40+00:00,yes,Other
6442010,https://line.supportubr.online/auth/U01EN/,http://www.phishtank.com/phish_detail.php?phish_id=6442010,2020-03-10T03:01:08+00:00,yes,2020-03-10T03:04:40+00:00,yes,Other
6442007,https://employmentnow.work/wp-admin/user/-/75d4d0baefb2b7482a06cc87294133d5ODAzN2Y2YjM1MTAyNjg5MzgxYzE2YzEwN2NkZTQ5NmE=/myaccount/websc_success,http://www.phishtank.com/phish_detail.php?phish_id=6442007,2020-03-10T03:01:02+00:00,yes,2020-03-10T03:03:38+00:00,yes,Other
6442006,https://baboucar.com/home/customer,http://www.phishtank.com/phish_detail.php?phish_id=6442006,2020-03-10T03:00:58+00:00,yes,2020-03-10T03:03:38+00:00,yes,Other
6442005,https://arnikomeb.ru/voscomptes.labanquepostale.fr/mabanque/redirect/enregistrement/codesmsconfirme/sms/cb,http://www.phishtank.com/phish_detail.php?phish_id=6442005,2020-03-10T03:00:54+00:00,yes,2020-03-10T03:03:38+00:00,yes,Other
6442004,https://arnikomeb.ru/voscomptes.labanquepostale.fr/mabanque/redirect/enregistrement/codesmsconfirme/sms,http://www.phishtank.com/phish_detail.php?phish_id=6442004,2020-03-10T03:00:50+00:00,yes,2020-03-10T03:03:38+00:00,yes,Other
6442003,https://arnikomeb.ru/voscomptes.labanquepostale.fr/mabanque/redirect/enregistrement,http://www.phishtank.com/phish_detail.php?phish_id=6442003,2020-03-10T03:00:45+00:00,yes,2020-03-10T03:03:38+00:00,yes,Other
6442002,http://revolutionpropertiesllc.com/labanquepostale.fr/postale/2704a,http://www.phishtank.com/phish_detail.php?phish_id=6442002,2020-03-10T03:00:41+00:00,yes,2020-03-10T03:02:35+00:00,yes,Other
6442001,http://netflixbillingcycle.netflixnoname.com/ff7d0f525b3be596a51fb919492c099c,http://www.phishtank.com/phish_detail.php?phish_id=6442001,2020-03-10T03:00:37+00:00,yes,2020-03-10T03:02:35+00:00,yes,Other
6442000,http://hmrcrenew.co.uk/87F8ETUIERFKHDFG/hmrc,http://www.phishtank.com/phish_detail.php?phish_id=6442000,2020-03-10T03:00:33+00:00,yes,2020-03-10T03:02:35+00:00,yes,Other
6441997,https://www.caia.jp/,http://www.phishtank.com/phish_detail.php?phish_id=6441997,2020-03-10T02:35:30+00:00,yes,2020-03-10T06:04:11+00:00,yes,Other
6441989,https://www.zoisfashion.gr/wp-includes/fonts/537de305e941fccdbba5627e3eefbb24/,http://www.phishtank.com/phish_detail.php?phish_id=6441989,2020-03-10T02:06:40+00:00,yes,2020-03-10T02:19:23+00:00,yes,Other
6441988,https://paypal-techsupports.com/signin,http://www.phishtank.com/phish_detail.php?phish_id=6441988,2020-03-10T02:05:56+00:00,yes,2020-03-10T02:19:23+00:00,yes,Other
6441987,http://issudacote.fr/tools/cas/update/chaseonline/login.htm,http://www.phishtank.com/phish_detail.php?phish_id=6441987,2020-03-10T02:05:52+00:00,yes,2020-03-10T02:19:23+00:00,yes,Other
6441985,http://pubgmobile-finalseason11.ezua.com/login/facebook,http://www.phishtank.com/phish_detail.php?phish_id=6441985,2020-03-10T02:05:48+00:00,yes,2020-03-10T02:18:21+00:00,yes,Other
6441984,http://hmrcrenew.co.uk/87F8ETUIERFKHDFG/hmrc/,http://www.phishtank.com/phish_detail.php?phish_id=6441984,2020-03-10T02:05:44+00:00,yes,2020-03-10T02:18:21+00:00,yes,Other
6441983,http://quintascastaldi.com.br/nove/assume/,http://www.phishtank.com/phish_detail.php?phish_id=6441983,2020-03-10T02:05:41+00:00,yes,2020-03-10T02:18:21+00:00,yes,Other
6441982,http://quintascastaldi.com.br/nove/assume,http://www.phishtank.com/phish_detail.php?phish_id=6441982,2020-03-10T02:05:40+00:00,yes,2020-03-10T02:17:18+00:00,yes,Other
6441981,http://zoisfashion.gr/wp-includes/fonts/537de305e941fccdbba5627e3eefbb24,http://www.phishtank.com/phish_detail.php?phish_id=6441981,2020-03-10T02:05:29+00:00,yes,2020-03-10T02:17:18+00:00,yes,Other
6441980,https://paypal-identity-form.com/UserID&amp;357303060/signin/?client=2x68g602sc82k047w1e4bq11anp111&amp;locale.x=en_,http://www.phishtank.com/phish_detail.php?phish_id=6441980,2020-03-10T02:05:25+00:00,yes,2020-03-10T02:17:18+00:00,yes,Other
6441979,https://reproductive.dyndns.dk/.HTC/v4,http://www.phishtank.com/phish_detail.php?phish_id=6441979,2020-03-10T02:05:20+00:00,yes,2020-03-10T02:17:18+00:00,yes,Other
6441978,https://www.hamouchan.org/www/applecom/64c9bb73dff3b75/,http://www.phishtank.com/phish_detail.php?phish_id=6441978,2020-03-10T02:05:16+00:00,yes,2020-03-10T02:17:18+00:00,yes,Other
6441977,https://www.hamouchan.org/www/applecom/64c9bb73dff3b75/?cmd=_update&amp;dispatch=64c9bb73dff3b75d8&amp;locale=_US,http://www.phishtank.com/phish_detail.php?phish_id=6441977,2020-03-10T02:05:12+00:00,yes,2020-03-10T02:16:16+00:00,yes,Other
6441976,https://www.hamouchan.org/www/applecom/7ddffa9f0e0c45a/?cmd=_update&dispatch=7ddffa9f0e0c45aa2&locale=_US,http://www.phishtank.com/phish_detail.php?phish_id=6441976,2020-03-10T02:05:08+00:00,yes,2020-03-10T02:16:16+00:00,yes,Other
6441975,https://www.hamouchan.org/www/applecom/,http://www.phishtank.com/phish_detail.php?phish_id=6441975,2020-03-10T02:05:07+00:00,yes,2020-03-10T02:16:16+00:00,yes,Other
6441974,https://4xcgb.csb.app/,http://www.phishtank.com/phish_detail.php?phish_id=6441974,2020-03-10T02:05:03+00:00,yes,2020-03-10T02:16:16+00:00,yes,Other
6441973,https://quilt-emmental-c26mmr7y7p.glitch.me/,http://www.phishtank.com/phish_detail.php?phish_id=6441973,2020-03-10T02:04:59+00:00,yes,2020-03-10T02:15:13+00:00,yes,Other
6441972,https://topekalodging.org/linkedinvm/err1/,http://www.phishtank.com/phish_detail.php?phish_id=6441972,2020-03-10T02:04:53+00:00,yes,2020-03-10T02:15:13+00:00,yes,Other
6441971,http://analoganalyzer.com/excelme2020/index.php,http://www.phishtank.com/phish_detail.php?phish_id=6441971,2020-03-10T02:04:49+00:00,yes,2020-03-10T02:15:13+00:00,yes,Other
6441970,http://homeownerknowhow.top/abu/Offtooffice/2020office/off/2020/83939/2020off/login.php,http://www.phishtank.com/phish_detail.php?phish_id=6441970,2020-03-10T02:04:45+00:00,yes,2020-03-10T02:15:13+00:00,yes,Other
6441969,http://jasminesellsindy.top/ipppepe/Offtooffice/2020office/off/2020/83939/2020off/login.php,http://www.phishtank.com/phish_detail.php?phish_id=6441969,2020-03-10T02:04:41+00:00,yes,2020-03-10T02:15:13+00:00,yes,Other
6441968,http://jasminesellsindy.top/ato/Offtooffice/2020office/off/2020/83939/2020off/login.php,http://www.phishtank.com/phish_detail.php?phish_id=6441968,2020-03-10T02:04:37+00:00,yes,2020-03-10T02:14:10+00:00,yes,Other
6441967,http://waterfilterex.top/wp-admin/Offtooffice/2020office/off/2020/83939/2020off/login.php,http://www.phishtank.com/phish_detail.php?phish_id=6441967,2020-03-10T02:04:33+00:00,yes,2020-03-10T02:14:10+00:00,yes,Other
6441966,http://virtualdatabasecolompersonaswebs.com/webpages3/VALIDATEPASSWORD.html,http://www.phishtank.com/phish_detail.php?phish_id=6441966,2020-03-10T02:04:29+00:00,yes,2020-03-10T02:14:10+00:00,yes,Other
6441965,http://corfuproperty.gr/Secure-Doc/@@/index.php,http://www.phishtank.com/phish_detail.php?phish_id=6441965,2020-03-10T02:04:24+00:00,yes,2020-03-10T02:14:10+00:00,yes,Other
6441964,https://www.corfuproperty.gr/Secure-Doc/@@/index.php,http://www.phishtank.com/phish_detail.php?phish_id=6441964,2020-03-10T02:04:19+00:00,yes,2020-03-10T02:14:10+00:00,yes,Other
6441963,http://zonaderegistrosenlineabnweb1.com/BNWeb/lnicio/,http://www.phishtank.com/phish_detail.php?phish_id=6441963,2020-03-10T02:04:15+00:00,yes,2020-03-10T02:13:08+00:00,yes,Other
6441962,http://revolutionpropertiesllc.com/labanquepostale.fr/postale/2704a/index2.html,http://www.phishtank.com/phish_detail.php?phish_id=6441962,2020-03-10T02:04:12+00:00,yes,2020-03-10T02:13:08+00:00,yes,Other
6441961,http://revolutionpropertiesllc.com/labanquepostale.fr/postale/2704a/,http://www.phishtank.com/phish_detail.php?phish_id=6441961,2020-03-10T02:04:08+00:00,yes,2020-03-10T02:13:08+00:00,yes,Other
6441960,http://catalog.precision.media/user1/made-in-china/made-in-chin-new%20dd/,http://www.phishtank.com/phish_detail.php?phish_id=6441960,2020-03-10T02:04:05+00:00,yes,2020-03-10T02:13:08+00:00,yes,Other
6441959,http://catalog.precision.media/user1/made-in-china/made-in-chin-new%20dd,http://www.phishtank.com/phish_detail.php?phish_id=6441959,2020-03-10T02:04:04+00:00,yes,2020-03-10T02:12:05+00:00,yes,Other
6441956,https://cabaxter-06.xyz/%20baxter/inc08/06/,http://www.phishtank.com/phish_detail.php?phish_id=6441956,2020-03-10T02:03:57+00:00,yes,2020-03-10T02:12:05+00:00,yes,Other
6441955,http://cabaxter-06.xyz/%20baxter/inc08/06,http://www.phishtank.com/phish_detail.php?phish_id=6441955,2020-03-10T02:03:56+00:00,yes,2020-03-10T02:12:05+00:00,yes,Other
6441954,http://appviagespontosbr.com/sempre/presente/premios/de/montao/index.html,http://www.phishtank.com/phish_detail.php?phish_id=6441954,2020-03-10T02:03:52+00:00,yes,2020-03-10T02:12:05+00:00,yes,Other
6441953,http://u63564396a.ha003.t.justns.ru/cfm/fr/657f6ed74bf9c949a77039014ac33350/,http://www.phishtank.com/phish_detail.php?phish_id=6441953,2020-03-10T02:03:49+00:00,yes,2020-03-10T02:11:02+00:00,yes,Other
6441952,http://u63564396a.ha003.t.justns.ru/cfm/fr,http://www.phishtank.com/phish_detail.php?phish_id=6441952,2020-03-10T02:03:48+00:00,yes,2020-03-10T02:11:02+00:00,yes,Other
6441951,http://www.jetonluoyuncak.com/direktnet.raiffeisen.hu/otp.htm,http://www.phishtank.com/phish_detail.php?phish_id=6441951,2020-03-10T02:03:43+00:00,yes,2020-03-10T02:11:02+00:00,yes,Other
6441950,https://baboucar.com/home/customer/,http://www.phishtank.com/phish_detail.php?phish_id=6441950,2020-03-10T02:03:40+00:00,yes,2020-03-10T02:11:02+00:00,yes,Other
6441949,http://www.egecelikbas.com/wp-admin/js/widgets/home/home/home/secure/chali/,http://www.phishtank.com/phish_detail.php?phish_id=6441949,2020-03-10T02:03:35+00:00,yes,2020-03-10T02:11:02+00:00,yes,Other
6441948,http://merletwd.cf/login/Time/ourtime.php,http://www.phishtank.com/phish_detail.php?phish_id=6441948,2020-03-10T02:03:31+00:00,yes,2020-03-10T02:10:00+00:00,yes,Other
6441947,http://netflixbillingcycle.netflixnoname.com/ff7d0f525b3be596a51fb919492c099c/,http://www.phishtank.com/phish_detail.php?phish_id=6441947,2020-03-10T02:03:26+00:00,yes,2020-03-10T02:10:00+00:00,yes,Other
6441946,http://valialasar.org/rkp/Onedrive_1/,http://www.phishtank.com/phish_detail.php?phish_id=6441946,2020-03-10T02:03:21+00:00,yes,2020-03-10T02:10:00+00:00,yes,Other
6441945,http://valialasar.org/rkp/Onedrive_1,http://www.phishtank.com/phish_detail.php?phish_id=6441945,2020-03-10T02:03:20+00:00,yes,2020-03-10T02:10:00+00:00,yes,Other
6441944,http://issudacote.fr/tools/cas/update/chaseonline/update.profile.php,http://www.phishtank.com/phish_detail.php?phish_id=6441944,2020-03-10T02:03:16+00:00,yes,2020-03-10T02:08:57+00:00,yes,Other
6441943,http://office365dde.com/securefolder/file/indexa.php,http://www.phishtank.com/phish_detail.php?phish_id=6441943,2020-03-10T02:03:13+00:00,yes,2020-03-10T02:08:57+00:00,yes,Other
6441939,https://vegasvalleybh.com/assets/web/assets/cart/myaccount/websc_success/,http://www.phishtank.com/phish_detail.php?phish_id=6441939,2020-03-10T02:02:50+00:00,yes,2020-03-10T02:07:53+00:00,yes,Other
6441938,https://cename.gt/wp-content/mopr/pos/Office/?sslchannel=true&amp;sessionid=Zt6hKsNzRlgm5Kb5pADcIxWzqMgjUa5TDcaoFYXwjeTpY4vnF8AnGwW6jdqdow62IhqngoUADNZBSvZxEAVk6Rqp5QDumKw51XtilnSYaSA3nAA1awlhoLHtCkXZ4u46rx,http://www.phishtank.com/phish_detail.php?phish_id=6441938,2020-03-10T02:02:46+00:00,yes,2020-03-10T02:07:53+00:00,yes,Other
6441937,https://locksmithrishon.com/ald/,http://www.phishtank.com/phish_detail.php?phish_id=6441937,2020-03-10T02:02:40+00:00,yes,2020-03-10T02:07:53+00:00,yes,Other
6441936,http://191.232.211.252/ItauCard/,http://www.phishtank.com/phish_detail.php?phish_id=6441936,2020-03-10T02:02:37+00:00,yes,2020-03-10T02:07:53+00:00,yes,Other
6441935,http://191.232.211.252/ItauCard,http://www.phishtank.com/phish_detail.php?phish_id=6441935,2020-03-10T02:02:36+00:00,yes,2020-03-10T02:07:53+00:00,yes,Other
6441934,http://kimpot.ga/marionh/a0072a04caed91899ffa8dbd79918de0/sf8743rg387efg9823983.html,http://www.phishtank.com/phish_detail.php?phish_id=6441934,2020-03-10T02:02:33+00:00,yes,2020-03-10T02:06:50+00:00,yes,Other
6441933,http://kimpot.ga/highrise/73822569144a5f4135fe0646fdc58c2e/sf8743rg387efg9823983.html,http://www.phishtank.com/phish_detail.php?phish_id=6441933,2020-03-10T02:02:28+00:00,yes,2020-03-10T02:06:50+00:00,yes,Other
6441932,http://kimpot.ga/highrise/7588a360edfb03bf1a0739c275ad2f84/sf8743rg387efg9823983.html,http://www.phishtank.com/phish_detail.php?phish_id=6441932,2020-03-10T02:02:24+00:00,yes,2020-03-10T02:06:50+00:00,yes,Other
6441931,http://kimpot.ga/shared/31aa1bda11cfb3db4db2febab7f56cd9/sf8743rg387efg9823983.html,http://www.phishtank.com/phish_detail.php?phish_id=6441931,2020-03-10T02:02:20+00:00,yes,2020-03-10T02:06:50+00:00,yes,Other
6441930,http://saluti24.ru/paypapMobile/afd82de65876c3ad3e40453713daaaa1/ca6f8c6cb1d1bd58c359373a6035902b/view/login.php,http://www.phishtank.com/phish_detail.php?phish_id=6441930,2020-03-10T02:02:16+00:00,yes,2020-03-10T02:06:50+00:00,yes,Other
6441929,http://kimpot.ga/genpt/544126ef4acdb1106bcb8fcf6f0d7ead/sf8743rg387efg9823983.html,http://www.phishtank.com/phish_detail.php?phish_id=6441929,2020-03-10T02:02:12+00:00,yes,2020-03-10T02:05:47+00:00,yes,Other
6441928,http://kimpot.ga/genpt/ea23656b7323c13048a830ae4cc25c5e/sf8743rg387efg9823983.html,http://www.phishtank.com/phish_detail.php?phish_id=6441928,2020-03-10T02:02:08+00:00,yes,2020-03-10T02:05:47+00:00,yes,Other
6441927,http://kimpot.ga/shared/4156f31751065d6cce56ded455a04f05/sf8743rg387efg9823983.html,http://www.phishtank.com/phish_detail.php?phish_id=6441927,2020-03-10T02:02:03+00:00,yes,2020-03-10T02:05:47+00:00,yes,Other
6441926,http://showntecs.xyz/doc/0nfile/oneddrive/login-option.php,http://www.phishtank.com/phish_detail.php?phish_id=6441926,2020-03-10T02:01:59+00:00,yes,2020-03-10T02:05:47+00:00,yes,Other
6441919,https://stainlesssteelsuppliers.co.in/assets/js/pagee/login.php?l=_JeHFUq_VJOXK0QWHtoGYDw1774256418&amp;fid.13InboxLight.aspxn.1774256418&amp;fid.125289964252813InboxLight99642_Product-email&amp;email=,http://www.phishtank.com/phish_detail.php?phish_id=6441919,2020-03-10T02:01:30+00:00,yes,2020-03-10T02:04:44+00:00,yes,Other
6441918,https://contrratmen.com/vmmmm/VoiceVM/1drvme/verification.php?sf58gfd1s689sxd2sdf8angf264s9df23sd2f1n495K3L2C151645172991f1477dbd26917ef3822423f62e984a91f1477dbd26917ef3822423f62e984a91f1477dbd,http://www.phishtank.com/phish_detail.php?phish_id=6441918,2020-03-10T02:01:20+00:00,yes,2020-03-10T02:04:44+00:00,yes,Other
6441917,http://utilizador-solnet.000webhostapp.com/,http://www.phishtank.com/phish_detail.php?phish_id=6441917,2020-03-10T02:01:19+00:00,yes,2020-03-10T02:04:44+00:00,yes,Other
6441915,https://cleaningsustainably.com/aramark/onedrive-drive,http://www.phishtank.com/phish_detail.php?phish_id=6441915,2020-03-10T02:01:16+00:00,yes,2020-03-10T02:03:42+00:00,yes,Other
6441916,https://cleaningsustainably.com/aramark/onedrive-drive/,http://www.phishtank.com/phish_detail.php?phish_id=6441916,2020-03-10T02:01:16+00:00,yes,2020-03-10T02:03:42+00:00,yes,Other
6441914,https://employmentnow.work/wp-admin/user/-/75d4d0baefb2b7482a06cc87294133d5ODAzN2Y2YjM1MTAyNjg5MzgxYzE2YzEwN2NkZTQ5NmE=/myaccount/websc_success/,http://www.phishtank.com/phish_detail.php?phish_id=6441914,2020-03-10T02:01:10+00:00,yes,2020-03-10T02:03:42+00:00,yes,Other
6441913,https://krauscomer.biz/jor/0nfile/oneddrive/login-option.php?cmd=login_submit&amp;id=1d54b58c8b9bcbbfb6d7995686320c3a1d54b58c8b9bcbbfb6d7995686320c3a&amp;session=1d54b58c8b9bcbbfb6d7995686320c3a1d54b58c8b9bcbbfb6d7995686320c3a,http://www.phishtank.com/phish_detail.php?phish_id=6441913,2020-03-10T02:01:07+00:00,yes,2020-03-10T02:03:42+00:00,yes,Other
6441912,http://palkivilki.ru/direktnet.raiffeisen.hu/otp.htm,http://www.phishtank.com/phish_detail.php?phish_id=6441912,2020-03-10T02:01:03+00:00,yes,2020-03-10T02:02:38+00:00,yes,Other
6441911,https://adhrithospitality.com/wp-content/uploads/cache/2019/ok/connect/auth-secured/present.logon/4b0683f7db764f5362d8a120fc159bfd/idowu.php,http://www.phishtank.com/phish_detail.php?phish_id=6441911,2020-03-10T02:00:58+00:00,yes,2020-03-10T02:02:38+00:00,yes,Other
6441910,https://vainillacakes.com/amzn/cibc1/index.php,http://www.phishtank.com/phish_detail.php?phish_id=6441910,2020-03-10T02:00:53+00:00,yes,2020-03-10T02:02:38+00:00,yes,Other
6441909,https://arnikomeb.ru/voscomptes.labanquepostale.fr/mabanque/redirect/enregistrement/codesmsconfirme/sms/cb/,http://www.phishtank.com/phish_detail.php?phish_id=6441909,2020-03-10T02:00:49+00:00,yes,2020-03-10T02:02:38+00:00,yes,Other
6441908,https://arnikomeb.ru/voscomptes.labanquepostale.fr/mabanque/redirect/enregistrement/codesmsconfirme/sms/,http://www.phishtank.com/phish_detail.php?phish_id=6441908,2020-03-10T02:00:45+00:00,yes,2020-03-10T02:02:38+00:00,yes,Other
6441907,https://arnikomeb.ru/voscomptes.labanquepostale.fr/mabanque/redirect/enregistrement/,http://www.phishtank.com/phish_detail.php?phish_id=6441907,2020-03-10T02:00:41+00:00,yes,2020-03-10T02:02:38+00:00,yes,Other
6441905,https://adhrithospitality.com/wp-content/uploads/cache/2019/ok/connect/auth-secured/present.logon/24f035003ab455897c8f3419b004a01e/idowu.php,http://www.phishtank.com/phish_detail.php?phish_id=6441905,2020-03-10T02:00:33+00:00,yes,2020-03-10T02:01:35+00:00,yes,Other
6441904,https://arnikomeb.ru/voscomptes.labanquepostale.fr/mabanque,http://www.phishtank.com/phish_detail.php?phish_id=6441904,2020-03-10T02:00:28+00:00,yes,2020-03-10T02:01:35+00:00,yes,Other
6441903,http://boggy-sewage.000webhostapp.com/,http://www.phishtank.com/phish_detail.php?phish_id=6441903,2020-03-10T02:00:08+00:00,yes,2020-03-10T02:01:35+00:00,yes,Other
6441900,https://www.dthuos.com/,http://www.phishtank.com/phish_detail.php?phish_id=6441900,2020-03-10T01:48:00+00:00,yes,2020-03-10T06:29:56+00:00,yes,Other
6441898,http://ooboaml.by/adp/verification/14N831867MC82M60BM27/index.php?country.x=US-United+States&lang.x=en,http://www.phishtank.com/phish_detail.php?phish_id=6441898,2020-03-10T01:39:01+00:00,yes,2020-03-10T01:41:11+00:00,yes,Other
6441897,http://ooboaml.by/adp/,http://www.phishtank.com/phish_detail.php?phish_id=6441897,2020-03-10T01:39:00+00:00,yes,2020-03-10T01:40:08+00:00,yes,Other
